"lang"
{ 
	"Language" "portuguese" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Ataque Automático"
		"dac_ability_alchemist_3star"												"Alchemist 3 Star Effect"
		"dac_ability_alchemist_3star_Description"									"At the start of combat, Alchemist causes his Ogre to enter a chemically induced rage, increasing attack speed by {s:attack_speed} and becoming magic immune for {s:rage_duration} seconds."

		"dac_ability_puck_3star"													"Puck 3 Star Effect"
		"dac_ability_puck_3star_Description"										"Illusory Orb's cooldown is massively reduced. See ability for details."

		"dac_ability_slark_3star"													"Slark 3 Star Effect"
		"dac_ability_slark_3star_Description"										"Slark gains Dark Pact. After a short delay, Slark sacrifices some of his life blood, purging negative effects and damaging enemies within {s:radius} cells for a total of {s:total_damage} damage. Slark himself takes {s:self_harm_pct}% of the damage too."

		// WILD ALLIANCE BONUSES
		"dac_ability_wild_alliance_crit"								"Critical Strike"
		"dac_ability_wild_alliance_crit_description"					"PASSIVE: The wolf has a {s:crit_chance}% chance of delivering a devastating {s:crit_bonus}% Critical Strike to enemy units."
		
		"dac_ability_wild_alliance_evasion"								"Evasion"
		"dac_ability_wild_alliance_evasion_description"					"PASSIVE: The Wildwing gains {s:evasion_pct}% Evasion."

		"dac_ability_wild_alliance_splash_attack"								"Splash Attack"
		"dac_ability_wild_alliance_splash_attack_description"					"PASSIVE: Black Dragon's ranged attack deals {s:splash_damage_percent}% splash damage to units {s:splash_radius} cell away of the Dragon's target."

		"dac_ability_enchantress_wild_alliance_bonus"								"Shaman Alliance Bonus"
		"dac_ability_enchantress_wild_alliance_bonus_Description"					"Each time it is attacked the Shaman Alliance creature has a {s:chance}% chance to slow the attacker's Attack Speed by {s:slow} for the duration of its attack."

		"dac_ability_magnus_wild_alliance_bonus"									"Shaman Alliance Bonus"
		"dac_ability_magnus_wild_alliance_bonus_Description"						"Whenever it is attacked by a melee unit, the Shaman Alliance creature has a {s:chance}% chance to push the attacker up to {s:length} cells away."

		"dac_ability_beastmaster_wild_alliance_bonus"								"Shaman Alliance Bonus"
		"dac_ability_beastmaster_wild_alliance_bonus_Description"					"On summoning, and every time it kills an enemy, the Shaman Alliance creature gains +{s:attack_speed} Attack Speed for {s:buff_duration} seconds."

		"dac_ability_treant_protector_wild_alliance_bonus"							"Shaman Alliance Bonus"
		"dac_ability_treant_protector_wild_alliance_bonus_Description"				"The Shaman Alliance creature gives allied units within {s:radius} cell +{s:armor} Armor and +{s:hp_regen} HP Regen."

		"dac_ability_lone_druid_wild_alliance_bonus"								"Shaman Alliance Bonus"
		"dac_ability_lone_druid_wild_alliance_bonus_Description"					"Lone Druid forms a Spirit Link with the Shaman Alliance creature. Whenever either damages an enemy, both lifesteal for {s:lifesteal_pct}%."

		"dac_ability_natures_prophet_wild_alliance_bonus"							"Shaman Alliance Bonus"
		"dac_ability_natures_prophet_wild_alliance_bonus_Description"				"The Shaman Alliance creature gains Wrath of Nature. The creature blasts a target for {s:damage} damage. The blast bounces {s:jumps} times to other enemies, increasing the damage by {s:increase_pct}% per bounce."

		"dac_ability_wild_alliance_wrath_of_nature"									"Wrath of Nature"
		"dac_ability_wild_alliance_wrath_of_nature_Description"						"The creature blasts a target for {s:damage} damage. The blast bounces {s:jumps} times to other enemies, increasing the damage by {s:increase_pct}% per bounce."
	}
}
